日期,配额类型,交易方式,本日成交量_吨,本日成交额_元,累计成交量_吨,累计成交额_元
2026-02-10,CEA23,挂牌协议交易,7640,618840.00,35010470,2875743178.56
2026-02-10,CEA24,挂牌协议交易,5000,400000.00,56364339,3452923612.57
2026-02-10,CEA25,挂牌协议交易,20000,1610000.00,1343113,104792270.20
2026-02-10,CEA25,大宗协议交易,400000,31440000.00,10005031,721539248.00
2026-02-09,CEA23,挂牌协议交易,49999,4049919.00,35002830,2875124338.56
2026-02-09,CEA24,挂牌协议交易,25000,2000000.00,56359339,3452523612.57
2026-02-09,CEA25,挂牌协议交易,56677,4565837.00,1323113,103182270.20
2026-02-09,CEA25,大宗协议交易,400000,31440000.00,9605031,690099248.00
2026-02-06,CEA23,挂牌协议交易,1,77.00,34952831,2871074419.56
2026-02-06,CEA24,挂牌协议交易,50962,4126960.00,56334339,3450523612.57
2026-02-06,CEA25,挂牌协议交易,81677,6219098.00,1266436,98616433.20
2026-02-06,CEA25,大宗协议交易,400000,31440000.00,9205031,658659248.00
2026-02-05,CEA25,大宗协议交易,100000,7850000.00,8805031,627219248.00
2026-02-04,CEA24,挂牌协议交易,650,51025.00,56283377,3446396652.57
2026-02-04,CEA25,挂牌协议交易,82280,6478464.00,1184759,92397335.20
2026-02-02,CEA25,挂牌协议交易,19010,1539790.00,1102479,85918871.20
2026-01-30,CEA25,挂牌协议交易,100,7900.00,1083469,84379081.20
2026-01-30,CEA25,大宗协议交易,100000,8040000.00,8705031,619369248.00
2026-01-29,CEA25,挂牌协议交易,2,157.00,1083369,84371181.20
2026-01-28,CEA24,挂牌协议交易,500,39500.00,56282727,3446345627.57
2026-01-28,CEA24,大宗协议交易,200000,16200000.00,115179867,6942983369.43
2026-01-28,CEA25,挂牌协议交易,147590,11596016.50,1083367,84371024.20
2026-01-28,CEA25,大宗协议交易,300000,22738000.00,8605031,611329248.00
2026-01-27,CEA24,挂牌协议交易,500,39000.00,56282227,3446306127.57
2026-01-27,CEA25,挂牌协议交易,111015,8711938.50,935777,72775007.70
2026-01-26,CEA25,挂牌协议交易,2439,199498.00,824762,64063069.20
2026-01-23,CEA24,挂牌协议交易,8236,585579.60,56281727,3446267127.57
2026-01-23,CEA25,挂牌协议交易,50000,4050000.00,822323,63863571.20
2026-01-23,CEA25,大宗协议交易,400000,32100000.00,8305031,588591248.00
2026-01-22,CEA24,大宗协议交易,220000,17160000.00,114979867,6926783369.43
2026-01-22,CEA25,挂牌协议交易,75839,5860172.00,772323,59813571.20
2026-01-22,CEA25,大宗协议交易,640000,46887000.00,7905031,556491248.00
2026-01-21,CEA25,挂牌协议交易,62500,4912500.00,696484,53953399.20
2026-01-21,CEA25,大宗协议交易,570000,35385000.00,7265031,509604248.00
2026-01-20,CEA25,挂牌协议交易,51643,3769939.00,633984,49040899.20
2026-01-20,CEA25,大宗协议交易,200000,13800000.00,6695031,474219248.00
2026-01-19,CEA24,挂牌协议交易,41947,3313813.00,56273491,3445681547.97
2026-01-19,CEA24,大宗协议交易,100000,7900000.00,114759867,6909623369.43
2026-01-19,CEA25,挂牌协议交易,5000,405000.00,582341,45270960.20
2026-01-16,CEA24,大宗协议交易,100000,7900000.00,114659867,6901723369.43
2026-01-16,CEA25,大宗协议交易,600000,42830000.00,6495031,460419248.00
2026-01-15,CEA25,挂牌协议交易,60000,4710000.00,577341,44865960.20
2026-01-15,CEA25,大宗协议交易,100000,6800000.00,5895031,417589248.00
2026-01-14,CEA25,挂牌协议交易,13700,993250.00,517341,40155960.20
2026-01-14,CEA25,大宗协议交易,572000,35780000.00,5795031,410789248.00
2026-01-13,CEA25,大宗协议交易,1070000,67129000.00,5223031,375009248.00
2026-01-12,CEA25,挂牌协议交易,43930,3440096.70,503641,39162710.20
2026-01-12,CEA25,大宗协议交易,400000,29435000.00,4153031,307880248.00
2026-01-09,CEA24,挂牌协议交易,68010,5027730.00,56231544,3442367734.97
2026-01-09,CEA24,大宗协议交易,200000,16000000.00,114559867,6893823369.43
2026-01-09,CEA25,挂牌协议交易,79400,6031500.00,459711,35722613.50
2026-01-09,CEA25,大宗协议交易,100000,6000000.00,3753031,278445248.00
2026-01-08,CEA25,挂牌协议交易,57000,4481000.00,380311,29691113.50
2026-01-08,CEA25,大宗协议交易,706626,50747560.00,3653031,272445248.00
2026-01-07,CEA24,挂牌协议交易,1000,76390.00,56163534,3437340004.97
2026-01-07,CEA24,大宗协议交易,100000,8285000.00,114359867,6877823369.43
2026-01-07,CEA25,挂牌协议交易,323311,25210113.50,323311,25210113.50
2026-01-07,CEA25,大宗协议交易,2946405,221697688.00,2946405,221697688.00
2026-01-06,CEA22,挂牌协议交易,1000,76390.00,37075764,3097709083.84
2026-01-06,CEA23,挂牌协议交易,4316,302120.00,34952830,2871074342.56
2026-01-06,CEA24,大宗协议交易,100000,8000000.00,114259867,6869538369.43
2026-01-05,CEA24,挂牌协议交易,1000,76390.00,56162534,3437263614.97
