date,trading_variety,trading_type,close_price_cny_ton,highest_price_cny_ton,lowest_price_cny_ton,volume_ton,amount_cny,daily_avg_price_cny,price_change_ratio,close_price_cny_ton_standardized,highest_price_cny_ton_standardized,lowest_price_cny_ton_standardized,volume_ton_standardized,amount_cny_standardized,daily_avg_price_cny_standardized
2026-01-05,CEA,Auction,74.63,74.63,74.63,1000.0,76390.0,76.39,1.0,-2.0857841866049776,-2.487234878510951,-1.5260705705986528,-0.6601605686764779,-0.6630406007448906,-0.2208838136553687
2026-01-06,CEA,Auction,74.63,74.63,74.63,5316.0,378510.0,71.2020316027088,1.0,-2.0857841866049776,-2.487234878510951,-1.5260705705986528,-0.6479864744907937,-0.6516779782148985,-1.3474064162417831
2026-01-06,CEA,Block,74.63,74.63,74.63,100000.0,8000000.0,80.0,1.0,-2.0857841866049776,-2.487234878510951,-1.5260705705986528,-0.38091234708641064,-0.3650365311537662,0.562996557986897
2026-01-07,CEA,Auction,77.97,79.19,74.0,324311.0,25286503.5,77.96992238931149,1.0447541203269464,-0.5065182975676223,-0.31932935362999465,-1.7792656948666619,0.2517992471872213,0.2851025332374917,0.12218270980707684
2026-01-07,CEA,Block,77.97,79.19,74.0,3046405.0,229982688.0,75.49314290122291,1.0,-0.5065182975676223,-0.31932935362999465,-1.7792656948666619,7.92998014113664,7.983651049731316,-0.41562859922306666
2026-01-08,CEA,Auction,78.61,83.0,78.0,57000.0,4481000.0,78.6140350877193,1.008208285237912,-0.2039044745185483,1.4920127625534363,-0.17167760427611656,-0.5022019786861368,-0.49738483210385925,0.2620462282024831
2026-01-08,CEA,Block,78.61,83.0,78.0,706626.0,50747560.0,71.81671775451228,1.0,-0.2039044745185483,1.4920127625534363,-0.17167760427611656,1.3301910031186004,1.2426835415265858,-1.213932618701875
2026-01-09,CEA,Auction,75.96,78.0,72.5,147410.0,11059230.0,75.02360762499153,0.9662892761735148,-1.4569148355811221,-0.8850766287634008,-2.3821112288381165,-0.24718347652494516,-0.249980011484669,-0.517584135741463
2026-01-09,CEA,Block,75.96,78.0,72.5,300000.0,22000000.0,73.33333333333333,1.0,-1.4569148355811221,-0.8850766287634008,-2.3821112288381165,0.18322547430766448,0.16149834048627426,-0.8846126232545921
2026-01-12,CEA,Auction,78.31,83.4,78.19,43930.0,3440096.7,78.30859776917825,1.0309373354397051,-0.3457547040728003,1.682179913858786,-0.09531716997306657,-0.5390683853142396,-0.5365328239220875,0.19572314821041176
2026-01-12,CEA,Block,78.31,83.4,78.19,400000.0,29435000.0,73.5875,1.0,-0.3457547040728003,1.682179913858786,-0.09531716997306657,0.46529438500470205,0.4411259669608243,-0.8294225232197581
2026-01-14,CEA,Auction,72.5,72.5,72.5,13700.0,993250.0,72.5,0.9258076873962456,-3.092920816440174,-3.4998749592119216,-2.3821112288381165,-0.6243378170179541,-0.6285578320011843,-1.0655637709097772
2026-01-14,CEA,Block,72.5,72.5,72.5,572000.0,35780000.0,62.55244755244755,1.0,-3.092920816440174,-3.4998749592119216,-2.3821112288381165,0.9504529114036067,0.6797590927148284,-3.225589009003501
2026-01-15,CEA,Block,78.5,78.5,78.5,100000.0,6800000.0,68.0,1.0827586206896551,-0.2559162253551076,-0.6473676896317171,0.02927090704770162,-0.38091234708641064,-0.4101680915800554,-2.0426999682477813
2026-01-15,CEA,Auction,78.5,78.5,78.5,60000.0,4710000.0,78.5,1.0,-0.2559162253551076,-0.6473676896317171,0.02927090704770162,-0.4937399113652257,-0.4887722259891757,0.23728449220756215
2026-01-19,CEA,Auction,81.0,81.0,81.0,46947.0,3718813.0,79.2130061558779,1.0318471337579618,0.9261690209303368,0.5411770060267015,1.0340134636667926,-0.53055836627851,-0.5260504059760527,0.39210763083714567
2026-01-19,CEA,Block,81.0,81.0,81.0,100000.0,7900000.0,79.0,1.0,0.9261690209303368,0.5411770060267015,1.0340134636667926,-0.38091234708641064,-0.3687974945226236,0.3458551808006738
2026-01-20,CEA,Auction,73.0,73.0,73.0,51643.0,3769939.0,73.0,0.9012345679012346,-2.856503767183085,-3.262166020080238,-2.1811627175142982,-0.5173124102321771,-0.5241275758440905,-0.9569930823166655
2026-01-20,CEA,Block,73.0,73.0,73.0,200000.0,13800000.0,69.0,1.0,-2.856503767183085,-3.262166020080238,-2.1811627175142982,-0.0988434363893731,-0.14690065576003516,-1.8255585910615584
2026-01-21,CEA,Auction,78.6,80.3,78.5,62500.0,4912500.0,78.6,1.0767123287671232,-0.2086328155036925,0.20838449124234293,0.02927090704770162,-0.4866881885977998,-0.4811562751672394,0.2589986299261832
2026-01-21,CEA,Block,78.6,80.3,78.5,570000.0,35385000.0,62.078947368421055,1.0,-0.2086328155036925,0.20838449124234293,0.02927090704770162,0.9448115331896658,0.6649032874078415,-3.328405491060945
2026-01-22,CEA,Auction,77.27,79.0,73.0,75839.0,5860172.0,77.27121929350334,0.9830788804071247,-0.837502166527548,-0.40965875050003336,-2.1811627175142982,-0.4490630165999219,-0.44551467839032083,-0.029534642660983847
2026-01-22,CEA,Block,77.27,79.0,73.0,860000.0,64047000.0,74.47325581395349,1.0,-0.837502166527548,-0.40965875050003336,-2.1811627175142982,1.762811374211075,1.7428706081897585,-0.6370882859271954
2026-01-23,CEA,Auction,81.0,81.0,81.0,58236.0,4635579.6,79.5998969709458,1.048272291963246,0.9261690209303368,0.5411770060267015,1.0340134636667926,-0.49871560694992145,-0.4915711499721329,0.47611763524168993
2026-01-23,CEA,Block,81.0,81.0,81.0,400000.0,32100000.0,80.25,1.0,0.9261690209303368,0.5411770060267015,1.0340134636667926,0.46529438500470205,0.5413556407408748,0.6172819022834528
2026-01-26,CEA,Auction,81.79,82.0,81.0,2439.0,199498.0,81.7949979499795,1.0097530864197533,1.29970795875654,1.016594884290069,1.0340134636667926,-0.6561015970515475,-0.6584105539607575,0.9527648848918937
2026-01-27,CEA,Auction,78.48,78.5,78.0,111515.0,8750938.5,78.47319643097342,0.9595305049517056,-0.26537290732538926,-0.6473676896317171,-0.17167760427611656,-0.3484321120196468,-0.33679400924611874,0.23146432831562386
2026-01-28,CEA,Block,78.57,81.0,75.0,500000.0,38938000.0,77.876,1.0011467889908257,-0.22281783845911837,0.5411770060267015,-1.3773686722190255,0.7473632957017395,0.7985303159033461,0.10178827284335992
2026-01-28,CEA,Auction,78.57,81.0,75.0,148090.0,11635516.5,78.57057532581538,1.0,-0.22281783845911837,0.5411770060267015,-1.3773686722190255,-0.2452654079322053,-0.2283060873199984,0.25260931565048095
2026-01-29,CEA,Auction,78.5,79.0,78.0,2.0,157.0,78.5,0.9991090747104494,-0.2559162253551076,-0.40965875050003336,-0.17167760427611656,-0.6629756164052343,-0.6659076959498716,0.23728449220756215
2026-01-30,CEA,Auction,79.0,79.0,79.0,100.0,7900.0,79.0,1.0063694267515924,-0.019499176098018704,-0.40965875050003336,0.2302194183715198,-0.6626991888727513,-0.665616484556221,0.3458551808006738
2026-01-30,CEA,Block,79.0,79.0,79.0,100000.0,8040000.0,80.4,1.0,-0.019499176098018704,-0.40965875050003336,0.2302194183715198,-0.38091234708641064,-0.36353214580622323,0.6498531088613875
2026-02-02,CEA,Auction,81.0,81.0,79.0,19010.0,1539790.0,80.99894792214624,1.0253164556962024,0.9261690209303368,0.5411770060267015,0.2302194183715198,-0.6093599578599413,-0.6080026628050309,0.7799094855390483
2026-02-04,CEA,Auction,78.74,81.0,78.0,82930.0,6529489.0,78.73494513445074,0.9720987654320987,-0.14243604171170735,0.5411770060267015,-0.17167760427611656,-0.42906151014239496,-0.42034191119878533,0.2883008022653982
2026-02-06,CEA,Auction,76.14,81.0,74.0,132640.0,10346135.0,78.00162092882992,0.966979933959868,-1.3718046978485667,0.5411770060267015,-1.7792656948666619,-0.2888450546348976,-0.2767992532198229,0.12906577433290073
2026-02-06,CEA,Block,76.14,81.0,74.0,400000.0,31440000.0,78.6,1.0,-1.3718046978485667,0.5411770060267015,-1.7792656948666619,0.46529438500470205,0.5165332825064158,0.2589986299261832
2026-02-09,CEA,Auction,80.56,82.0,78.0,131676.0,10615756.0,80.62028008141195,1.0580509587601787,0.7181220175840997,1.016594884290069,-0.17167760427611656,-0.291564198934017,-0.2666589061750758,0.6976850291058702
2026-02-09,CEA,Block,80.56,82.0,78.0,400000.0,31440000.0,78.6,1.0,0.7181220175840997,1.016594884290069,-0.17167760427611656,0.46529438500470205,0.5165332825064158,0.2589986299261832
2026-02-10,CEA,Auction,80.5,81.0,80.0,32640.0,2628840.0,80.5404411764706,0.9992552135054618,0.6897519716732479,0.5411770060267015,0.6321164410191561,-0.5709139653319352,-0.567043891236489,0.6803486993338644
2026-02-10,CEA,Block,80.5,81.0,80.0,400000.0,31440000.0,78.6,1.0,0.6897519716732479,0.5411770060267015,0.6321164410191561,0.46529438500470205,0.5165332825064158,0.2589986299261832
