Date,QuotaType,Open,High,Low,Close,Change,DailyVolume,DailyAmount,TradeType
2022-01-04,CEA,59.64,59.64,54.23,57.29,5.66,2001.0,114629.64,Listed
2022-01-04,CEA,59.64,59.64,54.23,57.29,5.66,329094.0,18758358.0,Block
2022-01-05,CEA,56.0,57.5,56.0,56.94,-0.61,101182.0,5761727.1,Listed
2022-01-05,CEA,56.0,57.5,56.0,56.94,-0.61,638587.0,33509874.16,Block
2022-01-06,CEA,55.5,57.8,55.5,57.26,0.56,86408.0,4948059.5,Listed
2022-01-06,CEA,55.5,57.8,55.5,57.26,0.56,255414.0,14031295.2,Block
2022-01-07,CEA,57.5,58.0,56.1,57.59,0.58,366101.0,21082978.1,Listed
2022-01-07,CEA,57.5,58.0,56.1,57.59,0.58,2804944.0,148321457.0,Block
2022-01-10,CEA,58.5,58.5,58.0,58.28,1.2,45412.0,2646431.98,Listed
2022-01-10,CEA,58.5,58.5,58.0,58.28,1.2,1748975.0,77845373.34,Block
2022-01-11,CEA,58.3,58.3,57.0,57.52,-1.3,26612.0,1530704.4,Listed
2022-01-11,CEA,58.3,58.3,57.0,57.52,-1.3,138475.0,8100787.5,Block
2022-01-12,CEA,57.99,57.99,57.99,57.99,0.82,100.0,5799.0,Listed
2022-01-12,CEA,57.99,57.99,57.99,57.99,0.82,500000.0,28000000.0,Block
2022-01-13,CEA,57.0,58.0,57.0,57.75,-0.41,135325.0,7815307.35,Listed
2022-01-13,CEA,57.0,58.0,57.0,57.75,-0.41,455157.0,25261213.5,Block
2022-01-14,CEA,57.74,57.9,57.6,57.77,0.03,173370.0,10014725.4,Listed
2022-01-17,CEA,58.49,58.49,52.3,58.48,1.23,731.0,42750.0,Listed
2022-01-18,CEA,58.5,58.5,58.5,58.5,0.03,100.0,5850.0,Listed
2022-01-19,CEA,56.0,56.0,56.0,56.0,-4.27,52695.0,2950920.0,Listed
2022-01-20,CEA,58.0,58.0,58.0,58.0,3.57,197.0,11426.0,Listed
2022-01-21,CEA,52.2,57.5,52.2,57.46,-0.93,125.0,7182.2,Listed
2022-01-24,CEA,51.71,57.99,51.71,57.87,0.71,109.0,6308.36,Listed
2022-01-25,CEA,57.87,57.87,52.09,57.83,-0.07,151.0,8732.59,Listed
2022-01-26,CEA,58.0,58.0,52.06,57.88,0.09,51.0,2952.06,Listed
2022-01-27,CEA,56.0,56.0,56.0,56.0,-3.25,60.0,3360.0,Listed
2022-01-28,CEA,58.88,61.6,58.88,61.38,9.61,1088.0,66781.44,Listed
2022-02-07,CEA,58.08,58.08,58.08,58.08,0.0,30.0,1742.4,Listed
2022-02-08,CEA,58.5,58.5,58.5,58.5,0.72,72148.0,4220658.0,Listed
2022-02-09,CEA,58.5,58.5,58.5,58.5,0.0,50.0,2925.0,Listed
2022-02-10,CEA,60.0,60.0,60.0,60.0,2.56,80.0,4800.0,Listed
2022-02-11,CEA,55.0,60.0,55.0,56.15,-6.42,130.0,7300.0,Listed
2022-02-14,CEA,50.54,58.8,50.54,58.41,4.02,21.0,1226.54,Listed
2022-02-15,CEA,58.4,58.4,58.4,58.4,-0.02,20.0,1168.0,Listed
2022-02-16,CEA,56.6,56.6,56.6,56.6,-3.08,2000.0,113200.0,Listed
2022-02-17,CEA,56.5,56.5,56.5,56.5,-0.18,50.0,2825.0,Listed
2022-02-18,CEA,56.88,56.88,56.88,56.88,0.67,60.0,3412.8,Listed
2022-02-21,CEA,56.99,56.99,56.99,56.99,0.19,143.0,8149.57,Listed
2022-02-22,CEA,57.0,58.0,51.3,56.78,-0.37,78402.0,4451554.0,Listed
2022-02-23,CEA,57.5,57.5,56.0,56.49,-0.51,5030.0,284125.0,Listed
2022-02-24,CEA,58.0,58.0,58.0,58.0,2.67,50.0,2900.0,Listed
2022-02-25,CEA,58.0,59.0,58.0,58.53,0.91,33965.0,1988042.5,Listed
2022-02-25,CEA,58.0,59.0,58.0,58.53,0.91,1359670.0,80220530.0,Block
2022-02-28,CEA,52.68,59.0,52.68,57.74,-1.35,250.0,14434.0,Listed
2022-02-28,CEA,52.68,59.0,52.68,57.74,-1.35,118516.0,5096188.0,Block
2022-03-01,CEA,57.8,57.8,57.8,57.8,0.1,50.0,2890.0,Listed
2022-03-02,CEA,57.8,58.9,57.8,57.9,0.17,110.0,6369.0,Listed
2022-03-02,CEA,57.8,58.9,57.8,57.9,0.17,200000.0,11300000.0,Block
2022-03-03,CEA,57.9,57.9,57.9,57.9,0.0,20.0,1158.0,Listed
2022-03-04,CEA,57.9,57.9,57.9,57.9,0.0,150.0,8685.0,Listed
2022-03-07,CEA,58.0,58.0,57.0,57.04,-1.49,520.0,29660.0,Listed
2022-03-08,CEA,57.0,57.0,57.0,57.0,-0.07,500.0,28500.0,Listed
2022-03-09,CEA,58.0,58.0,58.0,58.0,1.75,80.0,4640.0,Listed
2022-03-10,CEA,57.0,57.9,57.0,57.26,-1.28,700.0,40080.0,Listed
2022-03-11,CEA,57.6,57.6,57.6,57.6,0.59,60.0,3456.0,Listed
2022-03-14,CEA,58.0,58.0,58.0,58.0,0.69,20.0,1160.0,Listed
2022-03-15,CEA,58.0,58.0,57.5,57.77,-0.4,748.0,43214.9,Listed
2022-03-15,CEA,58.0,58.0,57.5,57.77,-0.4,190656.0,10581408.0,Block
2022-03-16,CEA,57.0,57.0,57.0,57.0,-1.33,520.0,29640.0,Listed
2022-03-17,CEA,57.0,57.0,57.0,57.0,0.0,13010.0,741570.0,Listed
2022-03-18,CEA,58.0,58.0,58.0,58.0,1.75,15.0,870.0,Listed
2022-03-18,CEA,58.0,58.0,58.0,58.0,1.75,150000.0,8325000.0,Block
2022-03-21,CEA,58.5,58.5,58.5,58.5,0.86,20.0,1170.0,Listed
2022-03-22,CEA,58.0,58.0,58.0,58.0,-0.85,50.0,2900.0,Listed
2022-03-23,CEA,58.4,58.4,58.4,58.4,0.69,60.0,3504.0,Listed
2022-03-24,CEA,59.0,59.0,58.0,58.01,-0.67,81685.0,4738930.0,Listed
2022-03-25,CEA,58.0,58.0,58.0,58.0,-0.02,15.0,870.0,Listed
2022-03-28,CEA,58.0,58.0,58.0,58.0,0.0,15.0,870.0,Listed
