Date,QuotaType,Open,High,Low,Close,Change,DailyVolume,DailyAmount,TradeType
2023-01-03,CEA,55.0,55.0,55.0,55.0,0.0,100.0,5500.0,Listed
2023-01-04,CEA,55.0,55.0,55.0,55.0,0.0,100.0,5500.0,Listed
2023-01-05,CEA,55.0,55.0,55.0,55.0,0.0,4291.0,236005.0,Listed
2023-01-06,CEA,56.0,56.0,56.0,56.0,1.82,1000.0,56000.0,Listed
2023-01-09,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-01-10,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-01-11,CEA,55.73,55.73,55.73,55.73,-0.48,100.0,5573.0,Listed
2023-01-12,CEA,55.5,55.5,55.5,55.5,-0.41,100.0,5550.0,Listed
2023-01-13,CEA,55.5,55.5,55.5,55.5,0.0,100.0,5550.0,Listed
2023-01-16,CEA,55.73,55.73,55.73,55.73,0.41,150000.0,8359500.0,Listed
2023-01-17,CEA,55.73,55.73,55.73,55.73,0.0,99999.0,5572944.27,Listed
2023-01-18,CEA,56.0,56.0,56.0,56.0,0.48,100.0,5600.0,Listed
2023-01-19,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-01-20,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-01-30,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,Listed
2023-01-31,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,Listed
2023-02-01,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-02-02,CEA,56.0,56.0,56.0,56.0,0.0,300.0,16800.0,Listed
2023-02-03,CEA,56.0,56.0,56.0,56.0,0.0,110.0,6160.0,Listed
2023-02-06,CEA,56.0,56.0,56.0,56.0,0.0,600.0,33600.0,Listed
2023-02-07,CEA,56.0,56.0,56.0,56.0,0.0,8500.0,476000.0,Listed
2023-02-08,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-02-09,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-02-09,CEA,56.0,56.0,56.0,56.0,0.0,100000.0,5550000.0,Block
2023-02-10,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-02-13,CEA,56.0,56.0,56.0,56.0,0.0,500.0,28000.0,Listed
2023-02-14,CEA,56.0,56.0,56.0,56.0,0.0,500.0,28000.0,Listed
2023-02-14,CEA,56.0,56.0,56.0,56.0,0.0,200000.0,11500000.0,Block
2023-02-15,CEA,56.0,57.5,56.0,56.04,0.07,20510.0,1149310.0,Listed
2023-02-15,CEA,56.0,57.5,56.0,56.04,0.07,300000.0,17250000.0,Block
2023-02-16,CEA,56.3,56.3,56.2,56.3,0.46,10466.0,589185.8,Listed
2023-02-17,CEA,56.3,56.3,56.3,56.3,0.0,200000.0,11260000.0,Listed
2023-02-20,CEA,56.2,56.2,56.2,56.2,-0.18,500.0,28100.0,Listed
2023-02-21,CEA,57.0,57.0,57.0,57.0,1.42,500.0,28500.0,Listed
2023-02-22,CEA,57.0,57.0,57.0,57.0,0.0,500.0,28500.0,Listed
2023-02-23,CEA,56.5,56.5,56.5,56.5,-0.88,500.0,28250.0,Listed
2023-02-24,CEA,56.5,56.5,56.5,56.5,0.0,10.0,565.0,Listed
2023-02-24,CEA,56.5,56.5,56.5,56.5,0.0,1000000.0,55000000.0,Block
2023-02-27,CEA,55.0,55.0,55.0,55.0,-2.65,10000.0,550000.0,Listed
2023-02-28,CEA,55.0,55.0,55.0,55.0,0.0,500.0,27500.0,Listed
2023-03-01,CEA,55.0,56.5,55.0,55.5,0.91,1500.0,83250.0,Listed
2023-03-02,CEA,55.0,55.0,55.0,55.0,-0.9,1000.0,55000.0,Listed
2023-03-03,CEA,56.0,56.0,56.0,56.0,1.82,10.0,560.0,Listed
2023-03-03,CEA,56.0,56.0,56.0,56.0,1.82,300000.0,17010000.0,Block
2023-03-06,CEA,55.0,56.0,55.0,55.5,-0.89,1010.0,56060.0,Listed
2023-03-07,CEA,56.0,56.0,56.0,56.0,0.9,500.0,28000.0,Listed
2023-03-07,CEA,56.0,56.0,56.0,56.0,0.9,200000.0,11340000.0,Block
2023-03-08,CEA,56.0,56.0,56.0,56.0,0.0,500.0,28000.0,Listed
2023-03-09,CEA,56.0,56.0,56.0,56.0,0.0,1000.0,56000.0,Listed
2023-03-10,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-03-13,CEA,56.0,56.0,56.0,56.0,0.0,510.0,28560.0,Listed
2023-03-14,CEA,56.0,56.5,56.0,56.0,0.0,1010.0,56565.0,Listed
2023-03-15,CEA,56.0,56.0,56.0,56.0,0.0,1000.0,56000.0,Listed
2023-03-16,CEA,56.0,56.0,56.0,56.0,0.0,500.0,28000.0,Listed
2023-03-17,CEA,57.5,57.5,55.0,56.75,1.34,1001.0,56805.0,Listed
2023-03-20,CEA,57.0,57.0,57.0,57.0,0.44,175.0,9975.0,Listed
2023-03-21,CEA,56.0,56.0,56.0,56.0,-1.75,1000.0,56000.0,Listed
2023-03-22,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-03-23,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-03-24,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-03-27,CEA,56.0,56.0,56.0,56.0,0.0,8900.0,498400.0,Listed
2023-03-28,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-03-28,CEA,56.0,56.0,56.0,56.0,0.0,476000.0,24558240.0,Block
2023-03-29,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-03-30,CEA,56.7,56.7,56.0,56.7,1.25,8830.0,500654.0,Listed
2023-03-30,CEA,56.7,56.7,56.0,56.7,1.25,300000.0,14272000.0,Block
2023-03-31,CEA,56.0,56.0,56.0,56.0,-1.23,2737.0,153272.0,Listed
2023-04-03,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-03,CEA,56.0,56.0,56.0,56.0,0.0,400000.0,22440000.0,Block
2023-04-04,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-06,CEA,56.0,56.0,50.5,50.52,-9.79,10037.0,507072.0,Listed
2023-04-07,CEA,55.4,55.4,55.4,55.4,9.66,10.0,554.0,Listed
2023-04-10,CEA,56.0,56.0,56.0,56.0,1.08,29990.0,1679440.0,Listed
2023-04-11,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-04-12,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-13,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-14,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-17,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-18,CEA,56.0,56.0,56.0,56.0,0.0,10.0,560.0,Listed
2023-04-19,CEA,56.0,56.0,56.0,56.0,0.0,100.0,5600.0,Listed
2023-04-20,CEA,56.0,56.0,53.0,53.4,-4.64,750.0,40050.0,Listed
2023-04-20,CEA,56.0,56.0,53.0,53.4,-4.64,300000.0,12888000.0,Block
2023-04-21,CEA,53.4,53.4,53.4,53.4,0.0,10.0,534.0,Listed
2023-04-21,CEA,53.4,53.4,53.4,53.4,0.0,300000.0,17250000.0,Block
2023-04-24,CEA,53.4,53.4,53.4,53.4,0.0,10.0,534.0,Listed
2023-04-25,CEA,53.4,53.4,53.4,53.4,0.0,500.0,26700.0,Listed
2023-04-26,CEA,56.0,56.0,53.4,54.92,2.85,10510.0,577260.0,Listed
