Date,QuotaType,Open,High,Low,Close,Change,DailyVolume,DailyAmount,TradeType,Average_Daily_Price,Open_Scaled,Close_Scaled,High_Scaled,Low_Scaled,DailyVolume_Scaled,DailyAmount_Scaled,Average_Daily_Price_Scaled
2021-07-16,CEA,48.0,51.23,51.23,51.23,6.73,4103953.0,210230053.25,Listed,51.22623315861561,0.3761485015068578,1.070113002239884,0.772296944594881,1.3006977980570475,1.3059117713268578,1.685445172479307,1.1952476571594959
2021-07-19,CEA,52.8,53.0,52.08,52.3,2.09,130800.0,6841289.0,Listed,52.30343272171254,1.4048078860861994,1.3012625850386086,1.1098292939698926,1.4930950808520231,-0.4045975448646559,-0.4002949112214226,1.4102113282984052
2021-07-20,CEA,52.92,54.0,52.9,53.28,1.87,162000.0,8631277.0,Listed,53.27948765432099,1.430524370700684,1.5129696795645442,1.3005255365546444,1.6787018713130581,-0.3911654191284521,-0.3819386871954275,1.6049907904655956
2021-07-21,CEA,54.2,55.5,54.07,54.4,2.1,112000.0,6092830.0,Listed,54.40026785714286,1.7048335399218422,1.7549206447370402,1.5865699004317724,1.9435310723367303,-0.41269126165441966,-0.407970315234339,1.8286513220812408
2021-07-21,CEA,54.2,55.5,54.07,54.4,2.1,100000.0,5292000.0,Block,52.92,1.7048335399218422,1.7549206447370402,1.5865699004317724,1.9435310723367303,-0.41785746386065187,-0.41618278084122445,1.5332521929491012
2021-07-22,CEA,55.3,58.5,54.3,55.52,2.06,112200.0,6229088.0,Listed,55.5177183600713,1.9405679822212736,1.996871609909538,2.1586586281860285,1.9955915135636053,-0.4126051582843158,-0.4065729972783896,2.051647385814236
2021-07-23,CEA,56.52,61.07,55.52,56.97,2.61,112000.0,6380260.0,Listed,56.96660714285714,2.202018909135191,2.3101116987489303,2.648747971628841,2.2717382018105123,-0.41269126165441966,-0.40502273710990927,2.3407845731003065
2021-07-26,CEA,54.5,54.85,53.98,54.46,-4.41,48000.0,2614220.0,Listed,54.462916666666665,1.7691247514580506,1.7678823035855675,1.462617342751684,1.9231595953349088,-0.44024434008765817,-0.4436432607842906,1.8411533862753644
2021-07-27,CEA,52.2,55.76,51.34,54.63,0.31,74211.0,4054248.14,Listed,54.63136381398984,1.276225463013783,1.8046070036563933,1.6361509235038076,1.3255962699481636,-0.42896006291869543,-0.4288758550019183,1.8747683434494686
2021-07-28,CEA,52.03,56.8,52.03,52.5,-3.9,72747.0,3819063.49,Listed,52.497882936753406,1.2397937764765976,1.3444681145336979,1.8344750157919494,1.48177759362879,-0.4295903395878558,-0.4312876600659049,1.4490154027809101
2021-07-28,CEA,52.03,56.8,52.03,52.5,-3.9,800000.0,32784000.0,Block,40.98,1.2397937764765976,1.3444681145336979,1.8344750157919494,1.48177759362879,-0.11649566849710573,-0.13425390147295102,-0.8494690049870107
2021-07-29,CEA,52.9,54.88,50.98,52.96,0.88,84026.0,4450253.42,Listed,52.96281412896008,1.4262382899316028,1.4438408323724021,1.4683382300292267,1.2441103619408784,-0.42473454003084804,-0.42481484362354205,1.5417960901554963
2021-07-30,CEA,52.96,58.1,51.5,54.17,2.28,40000.0,2166806.0,Listed,54.17015,1.4390965322388451,1.705234285817689,2.082380131152128,1.361812229062511,-0.443688474891813,-0.44823146563056143,1.7827294882254685
2021-08-02,CEA,50.35,55.3,50.35,51.99,-4.02,42022.0,2184609.4,Listed,51.98727809242777,0.8797629918738278,1.234294014321222,1.5484306519148214,1.1015100229281332,-0.4428179698200629,-0.44804889278715443,1.3471201777940127
2021-08-03,CEA,48.0,57.0,48.0,53.44,2.79,45005.0,2405040.0,Listed,53.43939562270859,0.3761485015068578,1.5475341031606142,1.8726142643089003,0.5695881234361425,-0.44153373805496365,-0.4457883896576449,1.6369016871151796
2021-08-04,CEA,58.7,58.7,58.7,58.7,9.84,20000.0,1174000.0,Listed,58.7,2.6692017129649757,2.6838395288814487,2.196797876702979,2.9915303892081844,-0.4522988119022,-0.45841263407993205,2.6866967929550247
2021-08-05,CEA,52.85,59.0,52.85,54.9,-6.47,60000.0,3294000.0,Listed,54.9,1.4155230880089018,1.8629344684747622,2.254006749478404,1.667384384089825,-0.43507813788142596,-0.43667215596772707,1.9283768137123753
2021-08-06,CEA,52.96,52.96,52.96,52.96,-3.53,20000.0,1059200.0,Listed,52.96,1.4390965322388451,1.4438408323724021,1.1022014442665027,1.6922828559809393,-0.4522988119022,-0.459589901479593,1.5412345085200763
2021-08-09,CEA,53.3,58.26,53.3,53.32,0.68,3010.0,160482.6,Listed,53.316478405315614,1.5119599053132144,1.5216107854635617,2.1128915299656876,1.7692417690989286,-0.4596132931925238,-0.46880619674551643,1.6123725866567573
2021-08-09,CEA,53.3,58.26,53.3,53.32,0.68,279856.0,14100693.72,Block,50.38553298839403,1.5119599053132144,1.5216107854635617,2.1128915299656876,1.7692417690989286,-0.34042642519364336,-0.32585013319180106,1.0274793056774656
2021-08-10,CEA,55.32,55.32,55.32,55.32,3.75,20000.0,1106400.0,Listed,55.32,1.9448540629903548,1.9536660804144488,1.5522445767665172,2.2264682529175763,-0.4522988119022,-0.4591058681933213,2.0121911272076156
2021-08-11,CEA,55.9,55.9,55.9,55.9,1.05,20000.0,1118000.0,Listed,55.9,2.0691504052936915,2.0789621159502056,1.662848397465673,2.3577511047070883,-0.4522988119022,-0.45898691086025445,2.1279347029867566
2021-08-12,CEA,52.0,55.7,52.0,55.43,-0.84,6001.0,332652.0,Listed,55.43276120646559,1.2333646553229765,1.9774291216367474,1.6247091489487233,1.4749871012948494,-0.45832561729262045,-0.4670406094472658,2.034693515561922
2021-08-13,CEA,55.43,55.43,54.0,54.0,-2.58,51001.0,2754055.43,Listed,54.00002803866591,1.9684275072202981,1.6685095857468633,1.5732211634508397,1.9276865902242029,-0.4389523590192496,-0.4422092564893728,1.7487803087024196
2021-08-16,CEA,51.0,51.0,51.0,51.0,-5.56,10.0,510.0,Listed,51.0,1.0190606168689467,1.0204266433205325,0.7284368088003885,1.2486373568301727,-0.46090484374408186,-0.47044670656101295,1.150101045542289
2021-08-16,CEA,51.0,51.0,51.0,51.0,-5.56,500000.0,25750000.0,Block,51.5,1.0190606168689467,1.0204266433205325,0.7284368088003885,1.2486373568301727,-0.24565072365291124,-0.20638716705844626,1.2498799901794797
2021-08-17,CEA,52.0,52.5,51.2,51.76,1.49,7001.0,362352.0,Listed,51.757177546064845,1.2333646553229765,1.1846076554018692,1.0144811726775165,1.2939073057231087,-0.4578951004421011,-0.4667360376548448,1.3012017984409452
2021-08-18,CEA,51.8,52.0,51.8,51.87,0.21,3000.0,155600.0,Listed,51.86666666666667,1.1905038476321699,1.2083706966241679,0.9191330513851406,1.4297171524019134,-0.459617598361029,-0.4688562675277951,1.323051216246753
2021-08-19,CEA,52.0,52.0,50.0,50.49,-2.66,4001.0,202002.0,Listed,50.487878030492375,1.2333646553229765,0.9102525431080567,0.9191330513851406,1.022287612365496,-0.45918665099365913,-0.4683804176856429,1.0479030662563085
2021-08-20,CEA,49.0,49.0,49.0,49.0,-2.95,8000.0,392000.0,Listed,49.0,0.5904525399608874,0.5883713483696454,0.3470443236308846,0.7959378679008192,-0.45746501410843227,-0.4664319991194341,0.7509852669935267
2021-08-20,CEA,49.0,49.0,49.0,49.0,-2.95,900000.0,37350000.0,Block,41.5,0.5904525399608874,0.5883713483696454,0.3470443236308846,0.7959378679008192,-0.07344398344517057,-0.08742983399166422,-0.7456989025643319
2021-08-23,CEA,49.0,50.2,49.0,50.2,2.45,3002.0,150698.0,Listed,50.19920053297801,0.5904525399608874,0.8476045253401783,0.5758798147325875,0.7959378679008192,-0.45961673732732794,-0.4689065372559583,0.9902951941713316
2021-08-24,CEA,50.19,50.2,50.17,50.2,0.0,2002.0,100500.36,Listed,50.19998001998002,0.8454743457211823,0.8476045253401783,0.5758798147325875,1.0607670689244915,-0.4600472541778473,-0.469421311168083,0.9904507469521688
2021-08-25,CEA,49.0,49.0,47.0,47.64,-5.1,35210.0,1677280.0,Listed,47.636466912808864,0.5904525399608874,0.2945737478030423,0.3470443236308846,0.34323837897146575,-0.44575065060580066,-0.45325152661563467,0.47888148215788284
